PDF,Quantidade,Descrição Completa,Linha Original
ADM 0800100_0734_2025 de 30_09_2025.PDF,34,"SMARTPHONE XIAOMI REDMI 12, 256GB CHINA,SN NA PLANILHA DO","34,00 un SMARTPHONE XIAOMI REDMI 12, 256GB CHINA,SN NA PLANILHA DO"
ADM 0800100_0734_2025 de 30_09_2025.PDF,1,"SMARTPHONE XIAOMI REDMI 12, 128GB CHINA,SN NA PLANILHA DO","1,00 un SMARTPHONE XIAOMI REDMI 12, 128GB CHINA,SN NA PLANILHA DO"
ADM 0800100_0734_2025 de 30_09_2025.PDF,103,"SMARTPHONE XIAOMI REDMI NOTE 12S, 256GB CHINA,SN NA","103,00 un SMARTPHONE XIAOMI REDMI NOTE 12S, 256GB CHINA,SN NA"
ADM 0800100_0734_2025 de 30_09_2025.PDF,53,"SMARTPHONE XIAOMI REDMI 12C, 128GB CHINA,SN NA PLANILHA DO","53,00 un SMARTPHONE XIAOMI REDMI 12C, 128GB CHINA,SN NA PLANILHA DO"
ADM 0800100_0734_2025 de 30_09_2025.PDF,4,"SMARTPHONE XIAOMI REDMI 12,256GB CHINA,SN:","4,00 un SMARTPHONE XIAOMI REDMI 12,256GB CHINA,SN:"
ADM 0800100_0734_2025 de 30_09_2025.PDF,4,"SMARTPHONE OPPO A78, 256GB CHINA,SN: 77E213B4, 587F7965,","4,00 un SMARTPHONE OPPO A78, 256GB CHINA,SN: 77E213B4, 587F7965,"
ADM 0800100_0734_2025 de 30_09_2025.PDF,3,"SMARTPHONE OPPO N69, 256GB CHINA,SN:","3,00 un SMARTPHONE OPPO N69, 256GB CHINA,SN:"
ADM 0800100_0734_2025 de 30_09_2025.PDF,2,"SMARTPHONE XIAOMI REDMI NOTE 12, 256GB CHINA,SN:","2,00 un SMARTPHONE XIAOMI REDMI NOTE 12, 256GB CHINA,SN:"
ADM 0800100_0734_2025 de 30_09_2025.PDF,4,"SMARTPHONE XIAOMI REDMI NOTE 12, 128GB,SN:49574/63VQ11930","4,00 un SMARTPHONE XIAOMI REDMI NOTE 12, 128GB,SN:49574/63VQ11930 R$ 4.149,84"
ADM 0800100_0734_2025 de 30_09_2025.PDF,1,"SMARTPHONE XIAOMI POCO F5, 256GB CHINA,SN:","1,00 un SMARTPHONE XIAOMI POCO F5, 256GB CHINA,SN:"
ADM 0800100_0734_2025 de 30_09_2025.PDF,1,"SMARTPHONE XIAOMI REDMI NOTE 12 PRO 5G, 256GB CHINA,SN:","1,00 un SMARTPHONE XIAOMI REDMI NOTE 12 PRO 5G, 256GB CHINA,SN:"
ADM 0800100_0734_2025 de 30_09_2025.PDF,3,"SMARTPHONE XIAOMI REDMI A2, 64GB CHINA,SN:50524/63X600072,","3,00 un SMARTPHONE XIAOMI REDMI A2, 64GB CHINA,SN:50524/63X600072,"
ADM 0800100_0734_2025 de 30_09_2025.PDF,1,"SMARTPHONE REALME C55, 256GB CHINA,SN: 3A30161910013113","1,00 un SMARTPHONE REALME C55, 256GB CHINA,SN: 3A30161910013113/// R$ 1.957,48"
ADM 0800100_0734_2025 de 30_09_2025.PDF,83,"SMARTPHONE XIAOMI POCO M5 ,128GB CHINA, SN EM PLANILHA DO","83,00 un SMARTPHONE XIAOMI POCO M5 ,128GB CHINA, SN EM PLANILHA DO"
ADM 0800100_0734_2025 de 30_09_2025.PDF,25,"SMARTPHONE XIAOMI REDMI NOTE 12, 128GB CHINA, SN EM","25,00 un SMARTPHONE XIAOMI REDMI NOTE 12, 128GB CHINA, SN EM"
ADM 0800100_0734_2025 de 30_09_2025.PDF,7,"SMARTPHONE XIAOMI REDMI 12, 256GB CHINA, SN EM PLANILHA DO","7,00 un SMARTPHONE XIAOMI REDMI 12, 256GB CHINA, SN EM PLANILHA DO"
ADM 0800100_0734_2025 de 30_09_2025.PDF,3,"SMARTPHONE XIAOMI REDMI 11 PRIME, 64GB","3,00 un SMARTPHONE XIAOMI REDMI 11 PRIME, 64GB"
ADM 0800100_0734_2025 de 30_09_2025.PDF,4,"SMARTPHONE XIAOMI REDMI 13C, 128GB, SN:51260/63ZM01267","4,00 un SMARTPHONE XIAOMI REDMI 13C, 128GB, SN:51260/63ZM01267"
ADM 0800100_0734_2025 de 30_09_2025.PDF,1,"SMARTPHONE XIAOMI REDMI 13C,128GB","1,00 un SMARTPHONE XIAOMI REDMI 13C,128GB"
ADM 0800100_0734_2025 de 30_09_2025.PDF,4,"SMARTPHONE XIAOMI REDMI 12C, 64GB, SN: 45785/W3Y401754","4,00 un SMARTPHONE XIAOMI REDMI 12C, 64GB, SN: 45785/W3Y401754"
ADM 0800100_0734_2025 de 30_09_2025.PDF,4,"SMARTPHONE XIAOMI REDMI 12C, 64GB,SN: 45771/W3Y400598","4,00 un SMARTPHONE XIAOMI REDMI 12C, 64GB,SN: 45771/W3Y400598"
ADM 0800100_0734_2025 de 30_09_2025.PDF,1,"SMARTPHONE XIAOMI REDMI 12C, 64GB","1,00 un SMARTPHONE XIAOMI REDMI 12C, 64GB"
ADM 0800100_0734_2025 de 30_09_2025.PDF,4,"SMARTPHONE XIAOMI REDMI A2, 64GB,SN: 50526/63XW12973","4,00 un SMARTPHONE XIAOMI REDMI A2, 64GB,SN: 50526/63XW12973"
ADM 0800100_0734_2025 de 30_09_2025.PDF,4,"SMARTPHONE XIAOMI REDMI A2,64GB,SN: 50526/63XW07703","4,00 un SMARTPHONE XIAOMI REDMI A2,64GB,SN: 50526/63XW07703"
ADM 0800100_0734_2025 de 30_09_2025.PDF,4,"SMARTPHONE XIAOMI REDMI A2,64GB, SN: 50526/63XW11783","4,00 un SMARTPHONE XIAOMI REDMI A2,64GB, SN: 50526/63XW11783"
ADM 0800100_0734_2025 de 30_09_2025.PDF,3,"SMARTPHONE XIAOMI REDMI A2, 64GB CHINA,SN:","3,00 un SMARTPHONE XIAOMI REDMI A2, 64GB CHINA,SN:"
ADM 0800100_0734_2025 de 30_09_2025.PDF,4,"SMARTPHONE REALME C53,128GB,SN: 0173A17125102824","4,00 un SMARTPHONE REALME C53,128GB,SN: 0173A17125102824"
ADM 0800100_0734_2025 de 30_09_2025.PDF,1,"SMARTPHONE REALME C53,128GB CHINA,SN: 0173A131251057E8","1,00 un SMARTPHONE REALME C53,128GB CHINA,SN: 0173A131251057E8/// R$ 1.969,28"
