Quantidade,Descrição,Valor (texto),Valor (numérico),Linha Original
48.0,"SMARTPHONE XIAOMI 04GB RAM / 64GB ROM REDMI NOTE 8/// R$ 48.000,00","48.000,00",48000.0,"48,00 un SMARTPHONE XIAOMI 04GB RAM / 64GB ROM REDMI NOTE 8/// R$ 48.000,00"
12.0,"SMARTPHONE XIAOMI 06GB RAM / 128GB ROM REDMI NOTE 10/// R$ 13.200,00","13.200,00",13200.0,"12,00 un SMARTPHONE XIAOMI 06GB RAM / 128GB ROM REDMI NOTE 10/// R$ 13.200,00"
10.0,"SMARTPHONE XIAOMI 06GB RAM / 128GB ROM POCO M3 PRO 5G/// R$ 8.500,00","8.500,00",8500.0,"10,00 un SMARTPHONE XIAOMI 06GB RAM / 128GB ROM POCO M3 PRO 5G/// R$ 8.500,00"
8.0,"SMARTPHONE XIAOMI 02GB RAM / 32GB ROM REDMI 9A, MADE IN","3.600,00",3600.0,"8,00 un SMARTPHONE XIAOMI 02GB RAM / 32GB ROM REDMI 9A, MADE IN"
7.0,"SMARTPHONE XIAOMI 02GB RAM / 32GB ROM REDMI 9A/// R$ 3.150,00","3.150,00",3150.0,"7,00 un SMARTPHONE XIAOMI 02GB RAM / 32GB ROM REDMI 9A/// R$ 3.150,00"
5.0,"SMARTPHONE XIAOMI 06GB RAM / 64GB ROM REDMI NOTE 10S/// R$ 5.500,00","5.500,00",5500.0,"5,00 un SMARTPHONE XIAOMI 06GB RAM / 64GB ROM REDMI NOTE 10S/// R$ 5.500,00"
2.0,"SMARTPHONE XIAOMI 04GB RAM / 128GB ROM REDMI 9I, MADE IN","2.600,00",2600.0,"2,00 un SMARTPHONE XIAOMI 04GB RAM / 128GB ROM REDMI 9I, MADE IN"
1.0,"SMARTPHONE XIAOMI 04GB RAM / 64GB ROM REDMI 9/// R$ 900,00","900,00",900.0,"1,00 un SMARTPHONE XIAOMI 04GB RAM / 64GB ROM REDMI 9/// R$ 900,00"
389.0,TELEFONE CELULAR XIAOMI SMARTPHONE REDMI A1 2GB,"68.460,11",68460.11,"389,00 un TELEFONE CELULAR XIAOMI SMARTPHONE REDMI A1 2GB"
3.0,"TELEFONE CELULAR XIAOMI SMARTPHONR REDMI 10C 128GB/// R$ 3.297,00","3.297,00",3297.0,"3,00 un TELEFONE CELULAR XIAOMI SMARTPHONR REDMI 10C 128GB/// R$ 3.297,00"
4.0,"TELEFONE CELULAR XIAOMI SMARTPHONE REDMI 10A 128GB/// R$ 3.052,36","3.052,36",3052.36,"4,00 un TELEFONE CELULAR XIAOMI SMARTPHONE REDMI 10A 128GB/// R$ 3.052,36"
17.0,"TELEFONE CELULAR XIAOMI SMARTPHONE REDMI A2 32GB/// R$ 11.883,00","11.883,00",11883.0,"17,00 un TELEFONE CELULAR XIAOMI SMARTPHONE REDMI A2 32GB/// R$ 11.883,00"
7.0,"TELEFONE CELULAR XIAOMI SMARTPHONE REDMI 9A 32GB/// R$ 4.522,77","4.522,77",4522.77,"7,00 un TELEFONE CELULAR XIAOMI SMARTPHONE REDMI 9A 32GB/// R$ 4.522,77"
1.0,TELEFONE CELULAR XIAOMI REDMI NOTE 11 //CB:42174852094-,"979,00",979.0,"1,00 un TELEFONE CELULAR XIAOMI REDMI NOTE 11 //CB:42174852094-"
1.0,TELEFONE CELULAR XIAOMI REDMI NOTE 11 //CB:42174784027-,"979,00",979.0,"1,00 un TELEFONE CELULAR XIAOMI REDMI NOTE 11 //CB:42174784027-"
1.0,TELEFONE CELULAR XIAOMI REDMI NOTE 11 //CB:42174414273-,"979,00",979.0,"1,00 un TELEFONE CELULAR XIAOMI REDMI NOTE 11 //CB:42174414273-"
